"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.685537062634999
"1","-1","-1","1","-1","1","1",0.5
"1","1","1","1","1","1","1",0.735742581873336
"1","1","-1","1","1","-1","1",0.568865794356586
"-1","1","-1","1","1","1","-1",0.725165698732932
"1","-1","1","-1","1","-1","1",0.774911378079488
"1","-1","1","1","-1","-1","1",0.58349686583353
"-1","-1","1","1","1","1","1",0.732362090733736
"-1","1","1","-1","1","-1","1",0.816140486870958
"-1","1","-1","-1","-1","1","-1",0.5
"-1","1","1","-1","-1","-1","-1",0.591295141749385
"-1","-1","-1","-1","-1","-1","1",0.77675906693173
"-1","-1","-1","1","1","-1","1",0.51275014523493
"-1","-1","1","-1","-1","1","1",0.610016376518639
"-1","-1","1","1","-1","1","-1",0.5
"1","1","1","-1","-1","1","1",0.656280562677
"-1","-1","-1","1","-1","-1","-1",0.58996083875223
"-1","1","1","1","-1","-1","1",0.593856140302843
"1","-1","-1","-1","1","1","1",0.769645611245845
"1","1","1","1","-1","1","-1",0.5
"1","1","-1","1","-1","-1","-1",0.585957017491128
"1","-1","-1","1","1","1","-1",0.691134963924742
"-1","1","-1","1","-1","1","1",0.501078103916759
"1","1","-1","-1","-1","-1","1",0.814193732151376
"1","1","1","-1","1","1","-1",0.707478363502115
"1","-1","1","1","1","-1","-1",0.5
"-1","-1","1","-1","1","1","-1",0.67480273677218
"-1","-1","-1","-1","1","-1","-1",0.5
"1","-1","-1","-1","-1","1","-1",0.5
"1","-1","1","-1","-1","-1","-1",0.590291641182802
"1","1","-1","-1","1","-1","-1",0.533291495838902
"-1","1","1","1","1","-1","-1",0.537275891750044
