"ntree","mtry","nodesize","replace","train.mse"
100,3,5,1,14.9612446360102
100,3,5,0,14.1860909458326
100,3,410,1,51.3301359499264
100,3,410,0,50.0339403177899
100,4,5,1,13.5734975795872
100,4,5,0,12.6300605750676
100,4,410,1,44.81044563107
100,4,410,0,44.4278055835407
500,3,5,1,11.230042383436
500,3,5,0,11.9145049222158
500,3,410,1,46.2389930155814
500,3,410,0,47.3665006045172
500,4,5,1,11.4802470600004
500,4,5,0,11.5902892622032
500,4,410,1,43.2934445820917
500,4,410,0,43.1412811998488
