"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.820866856207948
"1","-1","-1","1","-1","1","1",NA
"1","1","1","1","1","1","1",0.681873163628323
"1","1","-1","1","1","-1","1",0.63398239526417
"-1","1","-1","1","1","1","-1",0.676886842645737
"1","-1","1","-1","1","-1","1",0.70161364952998
"1","-1","1","1","-1","-1","1",0.886248514492242
"-1","-1","1","1","1","1","1",0.678794575188371
"-1","1","1","-1","1","-1","1",0.739109136231258
"-1","1","-1","-1","-1","1","-1",NA
"-1","1","1","-1","-1","-1","-1",0.890054934826651
"-1","-1","-1","-1","-1","-1","1",0.799161489177085
"-1","-1","-1","1","1","-1","1",NA
"-1","-1","1","-1","-1","1","1",0.889810892644639
"-1","-1","1","1","-1","1","-1",NA
"1","1","1","-1","-1","1","1",0.885535957909186
"-1","-1","-1","1","-1","-1","-1",0.887895445171529
"-1","1","1","1","-1","-1","1",0.885436879663309
"1","-1","-1","-1","1","1","1",0.752892963794218
"1","1","1","1","-1","1","-1",NA
"1","1","-1","1","-1","-1","-1",0.888445553312514
"1","-1","-1","1","1","1","-1",0.667337321389378
"-1","1","-1","1","-1","1","1",NA
"1","1","-1","-1","-1","-1","1",0.758593027558366
"1","1","1","-1","1","1","-1",0.674825677665864
"1","-1","1","1","1","-1","-1",NA
"-1","-1","1","-1","1","1","-1",0.663136253571234
"-1","-1","-1","-1","1","-1","-1",NA
"1","-1","-1","-1","-1","1","-1",NA
"1","-1","1","-1","-1","-1","-1",0.888194873052817
"1","1","-1","-1","1","-1","-1",0.624916774443169
"-1","1","1","1","1","-1","-1",0.625323011495432
