"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.820864332931446
"1","-1","-1","1","-1","1","1",NA
"1","1","1","1","1","1","1",0.681858906356753
"1","1","-1","1","1","-1","1",0.63395849238846
"-1","1","-1","1","1","1","-1",0.676790684263794
"1","-1","1","-1","1","-1","1",0.701714186481576
"1","-1","1","1","-1","-1","1",0.88633042558929
"-1","-1","1","1","1","1","1",0.678612885191945
"-1","1","1","-1","1","-1","1",0.738754504036189
"-1","1","-1","-1","-1","1","-1",NA
"-1","1","1","-1","-1","-1","-1",0.890100710652749
"-1","-1","-1","-1","-1","-1","1",0.798829875054437
"-1","-1","-1","1","1","-1","1",0.622494362315209
"-1","-1","1","-1","-1","1","1",0.889714187834389
"-1","-1","1","1","-1","1","-1",NA
"1","1","1","-1","-1","1","1",0.885579151674192
"-1","-1","-1","1","-1","-1","-1",0.887735822639404
"-1","1","1","1","-1","-1","1",0.884353605625687
"1","-1","-1","-1","1","1","1",0.752886078091167
"1","1","1","1","-1","1","-1",NA
"1","1","-1","1","-1","-1","-1",0.888505535979577
"1","-1","-1","1","1","1","-1",0.666975390384094
"-1","1","-1","1","-1","1","1",0.789511327665543
"1","1","-1","-1","-1","-1","1",0.758296542002714
"1","1","1","-1","1","1","-1",0.674634697444642
"1","-1","1","1","1","-1","-1",NA
"-1","-1","1","-1","1","1","-1",0.662898893409354
"-1","-1","-1","-1","1","-1","-1",NA
"1","-1","-1","-1","-1","1","-1",NA
"1","-1","1","-1","-1","-1","-1",0.888137777749058
"1","1","-1","-1","1","-1","-1",0.625005365282424
"-1","1","1","1","1","-1","-1",0.625644549367374
