"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.821803932635126
"1","-1","-1","1","-1","1","1",NA
"1","1","1","1","1","1","1",0.685157934092216
"1","1","-1","1","1","-1","1",0.634781095326041
"-1","1","-1","1","1","1","-1",0.679849860273533
"1","-1","1","-1","1","-1","1",0.699656855101986
"1","-1","1","1","-1","-1","1",0.889414250554444
"-1","-1","1","1","1","1","1",0.686446118137819
"-1","1","1","-1","1","-1","1",0.741672022534336
"-1","1","-1","-1","-1","1","-1",NA
"-1","1","1","-1","-1","-1","-1",0.889971196637265
"-1","-1","-1","-1","-1","-1","1",0.804289662434717
"-1","-1","-1","1","1","-1","1",0.625236755404324
"-1","-1","1","-1","-1","1","1",0.894285516652627
"-1","-1","1","1","-1","1","-1",NA
"1","1","1","-1","-1","1","1",0.885829439995643
"-1","-1","-1","1","-1","-1","-1",0.887937353069013
"-1","1","1","1","-1","-1","1",0.886709057418597
"1","-1","-1","-1","1","1","1",0.754989702856319
"1","1","1","1","-1","1","-1",NA
"1","1","-1","1","-1","-1","-1",0.887178593622819
"1","-1","-1","1","1","1","-1",0.668904312444641
"-1","1","-1","1","-1","1","1",0.853905851283588
"1","1","-1","-1","-1","-1","1",0.758990903052662
"1","1","1","-1","1","1","-1",0.675465101928569
"1","-1","1","1","1","-1","-1",NA
"-1","-1","1","-1","1","1","-1",0.655724726766646
"-1","-1","-1","-1","1","-1","-1",NA
"1","-1","-1","-1","-1","1","-1",NA
"1","-1","1","-1","-1","-1","-1",0.889313636512719
"1","1","-1","-1","1","-1","-1",0.627179055083734
"-1","1","1","1","1","-1","-1",0.628561078942561
