"ntree","mtry","replace","nodesize","classwt","cutoff","maxnodes","DoE.RF.results"
"-1","1","-1","-1","1","1","1",0.684867787671661
"1","-1","-1","1","-1","1","1",0.5
"1","1","1","1","1","1","1",0.737193657849714
"1","1","-1","1","1","-1","1",0.561683046895292
"-1","1","-1","1","1","1","-1",0.728307993394353
"1","-1","1","-1","1","-1","1",0.777804580930549
"1","-1","1","1","-1","-1","1",0.590374122732269
"-1","-1","1","1","1","1","1",0.725200884019944
"-1","1","1","-1","1","-1","1",0.822155648857823
"-1","1","-1","-1","-1","1","-1",0.5
"-1","1","1","-1","-1","-1","-1",0.58672301358553
"-1","-1","-1","-1","-1","-1","1",0.776604191563516
"-1","-1","-1","1","1","-1","1",0.508209374267674
"-1","-1","1","-1","-1","1","1",0.618112655676951
"-1","-1","1","1","-1","1","-1",0.5
"1","1","1","-1","-1","1","1",0.657010401310552
"-1","-1","-1","1","-1","-1","-1",0.587603390598428
"-1","1","1","1","-1","-1","1",0.59661910872351
"1","-1","-1","-1","1","1","1",0.77174521040821
"1","1","1","1","-1","1","-1",0.5
"1","1","-1","1","-1","-1","-1",0.594975962634111
"1","-1","-1","1","1","1","-1",0.690759294105593
"-1","1","-1","1","-1","1","1",0.501474855336531
"1","1","-1","-1","-1","-1","1",0.811571872189811
"1","1","1","-1","1","1","-1",0.712220282101713
"1","-1","1","1","1","-1","-1",0.5
"-1","-1","1","-1","1","1","-1",0.650760006913091
"-1","-1","-1","-1","1","-1","-1",0.5
"1","-1","-1","-1","-1","1","-1",0.5
"1","-1","1","-1","-1","-1","-1",0.588958384666095
"1","1","-1","-1","1","-1","-1",0.530329550219777
"-1","1","1","1","1","-1","-1",0.53191023506332
